group,condition,calendar,person1,destination1,destination2,destination3,person2,destination4,destination5,destination6,person3,destination7,destination8,destination9,person4,destination10,destination11,destination12,audio1,audio2
1,AlsoCritical,calendar3.png,girl_Abigail.png,themepark.png,themepark.png,themepark.png,girl_Anna.png,aquarium.png,aquarium.png,themepark.png,boy_Benjamin.png,themepark.png,themepark.png,aquarium.png,boy_Charles.png,aquarium.png,aquarium.png,themepark.png,kids_aquariumthemepark.wav,kid_Also_themepark_Jackson.wav
1,AlsoControlFalse,calendar3.png,girl_Anna.png,bakery.png,bakery.png,bakery.png,girl_Allison.png,aquarium.png,aquarium.png,aquarium.png,boy_Charles.png,bakery.png,bakery.png,bakery.png,boy_Christopher.png,aquarium.png,bakery.png,bakery.png,kids_aquariumbakery.wav,kid_Also_bakery_FallsCreek.wav
1,AlsoControlTrue,calendar3.png,woman_Alyssa.png,bakery.png,bakery.png,bakery.png,woman_Amy.png,beach.png,beach.png,beach.png,man_Aaron.png,bakery.png,bakery.png,beach.png,man_Andrew.png,beach.png,beach.png,beach.png,people_bakerybeach.wav,person_Also_bakery_Lynnwood.wav
2,StopCritical,calendar3.png,girl_Allison.png,computer.png,computer.png,beach.png,girl_Brittany.png,beach.png,beach.png,beach.png,boy_Christopher.png,beach.png,beach.png,beach.png,boy_Daniel.png,computer.png,computer.png,computer.png,kids_computerbeach.wav,kid_Stop_computer_Milford.wav
2,StopControlTrue,calendar3.png,woman_Amy.png,computer.png,computer.png,library.png,woman_Alyssa.png,library.png,library.png,computer.png,man_Andrew.png,library.png,library.png,computer.png,man_Aaron.png,computer.png,computer.png,computer.png,people_librarycomputer.wav,person_Stop_computer_Lexington.wav
2,StopControlFalse,calendar3.png,woman_Alexis.png,movies.png,movies.png,library.png,woman_Ashley.png,library.png,library.png,movies.png,man_Anthony.png,library.png,library.png,library.png,man_Brian.png,movies.png,movies.png,library.png,people_librarymovies.wav,person_Stop_movies_Dodgeville.wav
3,ReturnCritical,calendar3.png,girl_Brittany.png,movies.png,movies.png,movies.png,girl_Charlotte.png,orchard.png,orchard.png,movies.png,boy_Daniel.png,movies.png,movies.png,orchard.png,boy_David.png,orchard.png,orchard.png,movies.png,kids_moviesorchard.wav,kid_Return_movies_WestBayShore.wav
3,ReturnControlFalse,calendar3.png,woman_Ashley.png,party.png,party.png,party.png,woman_Alexis.png,orchard.png,orchard.png,orchard.png,man_Brian.png,party.png,party.png,party.png,man_Anthony.png,orchard.png,orchard.png,party.png,people_partyorchard.wav,person_Return_party_ThousandPalms.wav
3,ReturnControlTrue,calendar3.png,girl_Charlotte.png,party.png,party.png,party.png,girl_Chloe.png,pool.png,pool.png,pool.png,boy_David.png,party.png,party.png,pool.png,boy_Ethan.png,pool.png,pool.png,pool.png,kids_poolparty.wav,kid_Return_party_Fernville.wav
4,AgainCritical,calendar3.png,woman_Claire.png,salon.png,salon.png,salon.png,woman_Elizabeth.png,pool.png,pool.png,salon.png,man_Grant.png,salon.png,salon.png,pool.png,man_James.png,pool.png,pool.png,salon.png,people_poolsalon.wav,person_Again_salon_Franktown.wav
4,AgainControlFalse,calendar3.png,girl_Chloe.png,salon.png,salon.png,salon.png,girl_Emma.png,supermarket.png,supermarket.png,supermarket.png,boy_Ethan.png,salon.png,salon.png,salon.png,boy_Jacob.png,supermarket.png,supermarket.png,salon.png,kids_salonsupermarket.wav,kid_Again_salon_OreCity.wav
4,AgainControlTrue,calendar3.png,woman_Elizabeth.png,themepark.png,themepark.png,themepark.png,woman_Claire.png,supermarket.png,supermarket.png,supermarket.png,man_James.png,themepark.png,themepark.png,supermarket.png,man_Grant.png,supermarket.png,supermarket.png,supermarket.png,people_themeparksupermarket.wav,person_Again_themepark_Montello.wav
5,GoBackControlTrue,calendar3.png,girl_Claudia.png,themepark.png,themepark.png,themepark.png,girl_Hailey.png,aquarium.png,aquarium.png,aquarium.png,boy_Henry.png,themepark.png,themepark.png,aquarium.png,boy_John.png,aquarium.png,aquarium.png,aquarium.png,kids_aquariumthemepark.wav,kid_GoBack_themepark_Jackson.wav
5,GoBackCritical,calendar3.png,woman_Emily.png,bakery.png,bakery.png,bakery.png,woman_Georgia.png,beach.png,beach.png,bakery.png,man_Jeff.png,bakery.png,bakery.png,beach.png,man_Joseph.png,beach.png,beach.png,bakery.png,people_bakerybeach.wav,person_GoBack_bakery_Lynnwood.wav
5,GoBackControlFalse,calendar3.png,girl_Hailey.png,computer.png,computer.png,computer.png,girl_Hannah.png,beach.png,beach.png,beach.png,boy_John.png,computer.png,computer.png,computer.png,boy_Liam.png,beach.png,beach.png,computer.png,
